ID,Neo Reference ID,Name,Limited Name,Designation,NASA JPL URL,Absolute Magnitude (H),Min Diameter (km),Max Diameter (km),Min Diameter (m),Max Diameter (m),Min Diameter (miles),Max Diameter (miles),Min Diameter (feet),Max Diameter (feet),Is Potentially Hazardous,Close Approach Date,Close Approach Date (Full),Epoch Date Close Approach,Relative Velocity (km/s),Relative Velocity (km/h),Relative Velocity (miles/h),Miss Distance (astronomical),Miss Distance (lunar),Miss Distance (km),Miss Distance (miles),Orbiting Body
2001580,2001580,1580 Betulia (1950 KA),Betulia,1580,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2001580,14.69,3.065878759,6.855513317,3065.878759,6855.513317,1.905048151,4.259817165,10058.65767,22491.84231,FALSE,5/15/2116,2116-May-15 23:09,4.61903E+12,27.88834325,100398.0357,62383.43503,0.287777165,111.9453173,43050850.96,26750558.35,Earth
2001580,2001580,1580 Betulia (1950 KA),Betulia,1580,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2001580,14.69,3.065878759,6.855513317,3065.878759,6855.513317,1.905048151,4.259817165,10058.65767,22491.84231,FALSE,5/17/2129,2129-May-17 21:30,5.02942E+12,27.86994914,100331.8169,62342.28922,0.24170521,94.02332685,36158584.64,22467902.65,Earth
2001580,2001580,1580 Betulia (1950 KA),Betulia,1580,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2001580,14.69,3.065878759,6.855513317,3065.878759,6855.513317,1.905048151,4.259817165,10058.65767,22491.84231,FALSE,3/7/2131,2131-Mar-07 17:55,5.08635E+12,11.3253138,40771.12969,25333.59445,1.867059486,726.2861402,279308122.3,173554019.4,Juptr
2001580,2001580,1580 Betulia (1950 KA),Betulia,1580,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2001580,14.69,3.065878759,6.855513317,3065.878759,6855.513317,1.905048151,4.259817165,10058.65767,22491.84231,FALSE,5/21/2142,2142-May-21 08:09,5.43995E+12,27.9023658,100448.5169,62414.80206,0.174617257,67.92611309,26122369.76,16231687.89,Earth
2001580,2001580,1580 Betulia (1950 KA),Betulia,1580,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2001580,14.69,3.065878759,6.855513317,3065.878759,6855.513317,1.905048151,4.259817165,10058.65767,22491.84231,FALSE,5/25/2155,2155-May-25 00:50,5.85049E+12,28.18136961,101452.9306,63038.90567,0.15078113,58.65385938,22556535.81,14015981.42,Earth
2001580,2001580,1580 Betulia (1950 KA),Betulia,1580,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2001580,14.69,3.065878759,6.855513317,3065.878759,6855.513317,1.905048151,4.259817165,10058.65767,22491.84231,FALSE,12/13/2166,2166-Dec-13 09:43,6.21513E+12,11.23070097,40430.52348,25121.95499,1.975150306,768.3334689,295478278.7,183601688.6,Juptr
2001580,2001580,1580 Betulia (1950 KA),Betulia,1580,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2001580,14.69,3.065878759,6.855513317,3065.878759,6855.513317,1.905048151,4.259817165,10058.65767,22491.84231,FALSE,5/26/2168,2168-May-26 02:13,6.2609E+12,28.33572177,102008.5984,63384.17602,0.172604236,67.14304792,25821226.1,16044565.9,Earth
2001580,2001580,1580 Betulia (1950 KA),Betulia,1580,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2001580,14.69,3.065878759,6.855513317,3065.878759,6855.513317,1.905048151,4.259817165,10058.65767,22491.84231,FALSE,5/29/2181,2181-May-29 16:14,6.67143E+12,28.89242139,104012.717,64629.45741,0.237566686,92.41344078,35539470.18,22083202.76,Earth
2001580,2001580,1580 Betulia (1950 KA),Betulia,1580,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2001580,14.69,3.065878759,6.855513317,3065.878759,6855.513317,1.905048151,4.259817165,10058.65767,22491.84231,FALSE,6/2/2194,2194-Jun-02 22:14,7.08203E+12,29.87838607,107562.1899,66834.96181,0.334961491,130.3000198,50109525.51,31136615.33,Earth
2001620,2001620,1620 Geographos (1951 RA),Geographos,1620,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2001620,15.27,2.347226375,5.248557734,2347.226375,5248.557734,1.4584984,3.261301568,7700.874181,17219.67816,TRUE,8/23/1901,1901-Aug-23 17:36,-2.15717E+12,11.76282456,42346.1684,26312.26225,0.033899107,13.18675255,5071234.172,3151118.795,Earth
2001620,2001620,1620 Geographos (1951 RA),Geographos,1620,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2001620,15.27,2.347226375,5.248557734,2347.226375,5248.557734,1.4584984,3.261301568,7700.874181,17219.67816,TRUE,2/27/1908,1908-Feb-27 21:02,-1.95161E+12,8.116455651,29219.24034,18155.69965,0.34881522,135.6891205,52182013.92,32424399.91,Earth
2001620,2001620,1620 Geographos (1951 RA),Geographos,1620,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2001620,15.27,2.347226375,5.248557734,2347.226375,5248.557734,1.4584984,3.261301568,7700.874181,17219.67816,TRUE,6/7/1908,1908-Jun-07 22:48,-1.94288E+12,8.583855086,30901.87831,19201.22544,0.281640232,109.5580501,42132778.77,26180094.74,Earth
2001620,2001620,1620 Geographos (1951 RA),Geographos,1620,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2001620,15.27,2.347226375,5.248557734,2347.226375,5248.557734,1.4584984,3.261301568,7700.874181,17219.67816,TRUE,8/31/1908,1908-Aug-31 15:23,-1.93556E+12,7.081278681,25492.60325,15840.11228,0.362321143,140.9429246,54202471.25,33679853.88,Earth
2001620,2001620,1620 Geographos (1951 RA),Geographos,1620,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2001620,15.27,2.347226375,5.248557734,2347.226375,5248.557734,1.4584984,3.261301568,7700.874181,17219.67816,TRUE,3/14/1915,1915-Mar-14 16:15,-1.72941E+12,12.10532256,43579.1612,27078.39603,0.08159949,31.74220161,12207109.9,7585146.362,Earth
2001620,2001620,1620 Geographos (1951 RA),Geographos,1620,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2001620,15.27,2.347226375,5.248557734,2347.226375,5248.557734,1.4584984,3.261301568,7700.874181,17219.67816,TRUE,9/8/1919,1919-Sep-08 06:12,-1.58784E+12,20.02821,72101.55601,44801.10296,0.311150753,121.037643,46547489.91,28923269.04,Earth
2001620,2001620,1620 Geographos (1951 RA),Geographos,1620,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2001620,15.27,2.347226375,5.248557734,2347.226375,5248.557734,1.4584984,3.261301568,7700.874181,17219.67816,TRUE,2/27/1922,1922-Feb-27 21:16,-1.50976E+12,22.23977287,80063.18234,49748.14794,0.391751456,152.3913162,58605183.31,36415572.3,Earth
